ENSEMBLE,COMPOSER,WORK
Oregon,"Abrahamsen, Hans","Left, alone"
Seattle,"Abrahamsen, Hans",Horn Concerto
Amarillo,"Adams, John",Short Ride on a Fast Machine
Arkansas,"Adams, John",Unknown Piece
Cleveland,"Adams, John",Common Tones in Simple Times
Cleveland,"Adams, John",Must the Devil Have All the Good Tunes?
Colorado,"Adams, John",Harmonium
Colorado,"Adams, John",Scherezade 2
Dallas,"Adams, John",Century Rolls
Detroit,"Adams, John",The Chairman Dances
Grand Rapids,"Adams, John",Saxophone Concerto
Los Angeles,"Adams, John",Nixon in China
Los Angeles,"Adams, John",Short Ride on a Fast Machine
Los Angeles,"Adams, John",Tromba Lontana
Louisiana,"Adams, John",Saxophone Concerto
Louisville,"Adams, John",Dr. Atomic Symphony
Memphis,"Adams, John",Dr. Atomic Symphony
Milwaukee,"Adams, John",Absolute Jest
Milwaukee,"Adams, John",The Dharma at Big Star
New York,"Adams, John",Century Rolls
New York,"Adams, John",Saxophone Concerto
Philadelphia,"Adams, John",Saxophone Concerto
Pittsburgh,"Adams, John",Century Rolls
Quad City,"Adams, John",Short Ride on a Fast Machine
River Oaks,"Adams, John",Christian Zeal and Activity
Rochester,"Adams, John",The Chairman Dances
San Antonio,"Adams, John",The Chairman Dances
Seattle,"Adams, John",I Still Dance
Seattle,"Adams, John",I Still Dance
St. Louis,"Adams, John","“Lola Montez Does the Spider Dance” from ""Girls of the Golden West"""
St. Louis,"Adams, John",Century Rolls
Toledo,"Adams, John",Dr. Atomic Symphony
Virginia,"Adams, John",Saxophone Concerto
San Diego,"Adams, John Luther",Become Desert (premiere)
Spokane,"Adams, John Luther",Dark Waves
York,"Addinsell, Richard",Warsaw Concerto
Boston,"Adès, Thomas",Concerto for Piano and Orchestra
Boston,"Adès, Thomas",Polaris
Chicago,"Adès, Thomas",Concerto for Piano and Orchestra
Cleveland,"Adès, Thomas",Asyla
Cleveland,"Adès, Thomas",The Exterminating Angel Symphony
Los Angeles,"Adès, Thomas",Dante I: Inferno
Los Angeles,"Adès, Thomas",Dante II: Purgatorio
Los Angeles,"Adès, Thomas",Dante III: Paradiso
New Jersey,"Adès, Thomas",New Work (US Premiere)
Oregon,"Adès, Thomas",Concerto for Piano and Orchestra
San Francisco,"Adès, Thomas",Angel Symphony
St. Louis,"Adès, Thomas",Concerto for Piano and Orchestra
St. Paul Chamber,"Adès, Thomas","O Albion, from Arcadiana (arr. - US premiere)"
Detroit,"Adler, Samuel",Mirror Images (World Premiere)
Boston,"Adolphe, Julia",New Work
Cincinnati,"Adolphe, Julia",New Work
Los Angeles,"Adolphe, Julia",Violin Concerto
Grant Park,"Agudelo, Victor",La Madre de Aqua
Long Beach,"Aguila, Miguel del",Toccata
Rochester,"Aho, Kalevi",Siedi (Percussion Concerto)
Knoxville,"Al-Zand, Karim",Visions from another world
Long Beach,"Altan, Sinem",Hafriyat - Earthwork
Portland,"Altan, Sinem",Hafriyat - Earthwork
Louisiana,"Anderson, David",Concerto for Bass
Cleveland,"Anderson, Julian",New work (US premiere)
Oregon,"Andres, Timo",The Blind Bannister
Cleveland,"Anon, Anon","Good Night, Ladies"
Wisconsin Chamber,"Arriaga, Juan Crisóstomo de,",Los Esclavos Felices Overture
Reading,"Arutiunian, Alexander",Trumpet Concerto
York,"Arutiunian, Alexander",Trumpet Concerto
Augusta,"Assad, Clarice",Bonecos de Olinda
Long Beach,"Assad, Clarice",Nhanderú: Overture for Orchestra
Portland,"Assad, Clarice",Nhanderú: Overture for Orchestra
Minnesota,"Auerbach, Lera",Icarus
Oklahoma City,"Auerbach, Lera",Icarus
Orlando,"Auerbach, Lera",Violin Concerto No. 2
Stamford,"Auerbach, Lera",Eterniday
Atlanta,"Auznieks, Krists",New Work
South Bend,"Azmeh, Kinan",Suite for Improvisor and Orchestra
Minnesota,"Bacewicz, Grazyna",Concerto for String Orchestra
North Carolina,"Bacewicz, Grazyna",Overture
Los Angeles Chamber,"Bach, C.P.E.",Symphony in E minor
Seattle,"Bach, C.P.E.",Cello Concerto in A Major
Los Angeles Chamber,"Bach, J.C.",Symphony in E-flat major
Los Angeles Chamber,"Bach, J.C.F.",Symphony in C major
Amarillo,"Bach, J.S.",Double Concerto for Violin and Oboe BWV 1060
Cleveland,"Bach, J.S.",Orchestral Suite No. 4
Houston,"Bach, J.S.",Brandenburg Concerto No. 3
Houston,"Bach, J.S.",Easter Oratorio
Houston,"Bach, J.S.",Magnificat
Long Beach,"Bach, J.S.","Concerto for Two Pianos in C minor, BWV 1062"
Los Angeles,"Bach, J.S.",St. Matthew Passion
Los Angeles Chamber,"Bach, J.S.",Orchestral Suite no. 2
Los Angeles Chamber,"Bach, J.S.",Violin Concerto no. 1 in A minor
Louisiana,"Bach, J.S.",Christmas Oratorio
Louisiana,"Bach, J.S.",Violin Concerto no. 1 in A minor
Milwaukee,"Bach, J.S.",Brandenburg Concerto No. 3
Oregon,"Bach, J.S.",Cantatas
Orpheus,"Bach, J.S.","Concerto for Flute, Violin, and Keyboard BWV 1044"
Orpheus,"Bach, J.S.",Keyboard Concerto No. 2
Orpheus,"Bach, J.S.",Keyboard Concerto No. 4
Orpheus,"Bach, J.S.",Keyboard Concerto No. 5
Orpheus,"Bach, J.S.",Keyboard Concerto No. 7
Pasadena,"Bach, J.S.",Brandenburg Concerto No. 5
Portland,"Bach, J.S.","Concerto for Two Pianos in C minor, BWV 1062"
Portland,"Bach, J.S.",St. Matthew Passion
Richmond,"Bach, J.S.",Brandenburg Concerto No. 1
Richmond,"Bach, J.S.",Brandenburg Concerto No. 3
Rockford,"Bach, J.S.",Concerto for Two Violins
San Diego,"Bach, J.S.",Orchestral Suite no. 2
San Francisco,"Bach, J.S.",Brandenburg Concerto No. 3
San Francisco,"Bach, J.S.",Cantatas
San Francisco,"Bach, J.S.",Goldberg Variations 
San Francisco,"Bach, J.S.",Mass in B Minor
San Francisco,"Bach, J.S.",Selected Works *
Seattle,"Bach, J.S.",Cantatas
Seattle,"Bach, J.S.",Concerto for Two Violins
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 1
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 2
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 3
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 4
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 5
South Dakota,"Bach, J.S.",Brandenburg Concerto No. 6
St. Paul Chamber,"Bach, J.S.",Concerto for Two Violins
Toledo,"Bach, J.S.",Italian Concerto
Tucson,"Bach, J.S.",Brandenburg Concerto No. 2
Utah,"Bach, J.S.",Concerto for Two Violins
Virginia,"Bach, J.S.",Brandenburg Concerto No. 1
Virginia,"Bach, J.S.",Brandenburg Concerto No. 2
Virginia,"Bach, J.S.",Brandenburg Concerto No. 3
Virginia,"Bach, J.S.",Brandenburg Concerto No. 4
Virginia,"Bach, J.S.",Brandenburg Concerto No. 5
Virginia,"Bach, J.S.",Brandenburg Concerto No. 6
York,"Bach, J.S.",Brandenburg Concerto No. 1
York,"Bach, J.S.",Brandenburg Concerto No. 2
York,"Bach, J.S.",Brandenburg Concerto No. 3
York,"Bach, J.S.",Brandenburg Concerto No. 4
York,"Bach, J.S.",Brandenburg Concerto No. 5
York,"Bach, J.S.",Brandenburg Concerto No. 6
Grand Rapids,"Bach, J.S./Berio",Contrapunctus XIX (from Art of the Fugue)
St. Paul Chamber,"Bach, J.S./Ferree",Goldberg Variations (world premiere of arr.)
Fort Worth,"Bach, J.S./Respighi",Passacaglia in C minor
Minnesota,"Bach, J.S./Stokowski",Toccata and Fugue
Pittsburgh,"Bach, J.S./Stokowski",Toccata and Fugue
Los Angeles Chamber,"Bach, W.F.",Sinfonia in F major
Quad City,"Bancks, Jacob",Clarinet Concerto
Pasadena,"Banducci, Brett",In Nomine (World premiere)
Arkansas,"Barber, Samuel",Violin Concerto
Baltimore,"Barber, Samuel",Violin Concerto
Chattanooga,"Barber, Samuel",Violin Concerto
Cleveland,"Barber, Samuel",Toccata Festiva
Colorado,"Barber, Samuel",Adagio for Strings
Colorado,"Barber, Samuel","Symphony no. 1, in one movement"
Detroit,"Barber, Samuel","Medea's Dance of Vengeance, op. 23"
Grand Rapids,"Barber, Samuel",Toccata Festiva
Grant Park,"Barber, Samuel",Concerto fo Cello
Kansas City,"Barber, Samuel","Medea's Dance of Vengeance, op. 23"
Knoxville,"Barber, Samuel",Night Flight
Louisville,"Barber, Samuel",Adagio for Strings
Louisville,"Barber, Samuel",Overture to the School of Scandal
Louisville,"Barber, Samuel","Symphony no. 1, in one movement"
Milwaukee,"Barber, Samuel","Symphony no. 1, in one movement"
Naples,"Barber, Samuel","Knoxville, Summer of 1915"
Naples,"Barber, Samuel",Violin Concerto
New York,"Barber, Samuel","Symphony no. 1, in one movement"
Pittsburgh,"Barber, Samuel",Violin Concerto
Portland,"Barber, Samuel",Concerto fo Cello
Quad City,"Barber, Samuel","Symphony no. 1, in one movement"
Richmond,"Barber, Samuel",Toccata Festiva
Richmond,"Barber, Samuel",Violin Concerto
River Oaks,"Barber, Samuel","Knoxville, Summer of 1915"
Rochester,"Barber, Samuel",Piano Concerto
San Francisco,"Barber, Samuel",Adagio for Strings
Spokane,"Barber, Samuel",Violin Concerto
St. Louis,"Barber, Samuel",Violin Concerto
St. Paul Chamber,"Barber, Samuel",Canzonetta for Oboe and Strings
Tucson,"Barber, Samuel",Essay No. 2
Tucson,"Barber, Samuel","Knoxville, Summer of 1915"
West Virginia,"Barber, Samuel",Adagio for Strings
Grant Park,"Barilari, Elbio",Cayengue
Charlotte,"Barry, Gerald","Beethoven, Ludwig van"
Albany,"Bartók, Béla",Concerto for Orchestra
Amarillo,"Bartók, Béla",Concerto for Orchestra
Atlanta,"Bartók, Béla",Concerto for Orchestra
Boston,"Bartók, Béla",Piano Concerto No. 3
Cape,"Bartók, Béla",Concerto for Orchestra
Cape,"Bartók, Béla",Hungarian Sketches
Chicago,"Bartók, Béla",The Miraculous Mandarin (Suite)
Cincinnati,"Bartók, Béla",Piano Concerto No. 3
Cleveland,"Bartók, Béla",The Miraculous Mandarin (Suite)
Colorado,"Bartók, Béla",Violin Concerto No. 2
Columbus,"Bartók, Béla",Concerto for Orchestra
Dallas,"Bartók, Béla",Concerto for Orchestra
Detroit,"Bartók, Béla",The Miraculous Mandarin (Suite)
Kansas City,"Bartók, Béla",The Miraculous Mandarin (Suite)
Los Angeles,"Bartók, Béla",The Miraculous Mandarin (Suite)
Louisiana,"Bartók, Béla",Concerto for Orchestra
Minnesota,"Bartók, Béla",Bluebeard's Castle
Minnesota,"Bartók, Béla",Violin Concerto No. 2
Nashville,"Bartók, Béla",Concerto for Orchestra
National,"Bartók, Béla",Concerto for Orchestra
New Jersey,"Bartók, Béla",Concerto for Orchestra
North Carolina,"Bartók, Béla",Concerto for Orchestra
Oregon,"Bartók, Béla","Music for Strings, Percussion, and Celesta"
Pacific,"Bartók, Béla",Concerto for Orchestra
Philadelphia,"Bartók, Béla",Violin Concerto No. 2
Plano,"Bartók, Béla",Concerto for Viola
Portland,"Bartók, Béla",Concerto for Orchestra
Quad City,"Bartók, Béla",The Miraculous Mandarin (Suite)
San Diego,"Bartók, Béla",Concerto for Orchestra
San Francisco,"Bartók, Béla",Bluebeard's Castle
San Francisco,"Bartók, Béla",Concerto for Orchestra
San Francisco,"Bartók, Béla",Piano Concerto No. 2
Seattle,"Bartók, Béla",Concerto for Orchestra
Seattle,"Bartók, Béla",Piano Concerto No. 3
Seattle,"Bartók, Béla",Violin Concerto No. 2
St. Louis,"Bartók, Béla",Concerto for Orchestra
Toledo,"Bartók, Béla",Violin Concerto No. 2
Tucson,"Bartók, Béla",Concerto for Orchestra
West Virginia,"Bartók, Béla",Concerto for Orchestra
Winston-Salem,"Bartók, Béla",Concerto for Orchestra
California,"Bates, Mason",Cello Concerto
Colorado,"Bates, Mason",Resurrexit
Memphis,"Bates, Mason",Auditorium
Memphis,"Bates, Mason",ODE for Orchestra
Minnesota,"Bates, Mason",Philharmonia Fantastique: The Making of the Orchestra
Philadelphia,"Bates, Mason",Suite from The (R)evolution of Steve Jobs (world premiere)
Pittsburgh,"Bates, Mason",Philharmonia Fantastique: The Making of the Orchestra
Rochester,"Bates, Mason",Auditorium
South Bend,"Bates, Mason",ODE for Orchestra
Wichita,"Bates, Mason",Mothership
North Carolina,"Beach, Amy",Bal Masqué
North Carolina,"Beach, Amy",Gaelic Symphony (full or excerpts)
Quad City,"Beach, Amy",Symphony No. 2 - third movement
Seattle,"Beach, Amy",Gaelic Symphony (full or excerpts)
Sarasota,"Beckel, Jim",Toccata for Orchestra
Orlando,"Beecher, Lembit",Cello Concerto (world premiere)
Alabama,"Beethoven, Ludwig van",Choral Fantasy
Alabama,"Beethoven, Ludwig van",Piano Concerto No. 5
Alabama,"Beethoven, Ludwig van",Symphony No. 5
Albany,"Beethoven, Ludwig van",Ah! perfido
Albany,"Beethoven, Ludwig van",Choral Fantasy
Albany,"Beethoven, Ludwig van",Extemporized Fantasia (??)
Albany,"Beethoven, Ludwig van",Mass in C - Gloria
Albany,"Beethoven, Ludwig van",Mass in C - Sanctus
Albany,"Beethoven, Ludwig van",Piano Concerto No. 4
Albany,"Beethoven, Ludwig van",Symphony No. 5
Albany,"Beethoven, Ludwig van",Symphony No. 6
Allentown,"Beethoven, Ludwig van",Piano Concerto No. 4
Allentown,"Beethoven, Ludwig van",Symphony No. 9
Amarillo,"Beethoven, Ludwig van",Symphony No. 5
Ann Arbor,"Beethoven, Ludwig van",Coriolan Overture
Ann Arbor,"Beethoven, Ludwig van",Piano Concerto No. 4
Ann Arbor,"Beethoven, Ludwig van",Symphony No. 5
Ann Arbor,"Beethoven, Ludwig van",Symphony No. 7
Ann Arbor,"Beethoven, Ludwig van",Violin Concerto
Arkansas,"Beethoven, Ludwig van",Unknown Piece
Atlanta,"Beethoven, Ludwig van",Piano Concerto No. 3
Augusta,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Augusta,"Beethoven, Ludwig van",Piano Concerto No. 1
Augusta,"Beethoven, Ludwig van",Symphony No. 3
Austin,"Beethoven, Ludwig van",Piano Concerto No. 2
Austin,"Beethoven, Ludwig van",Symphony No. 2
Austin,"Beethoven, Ludwig van",Symphony No. 9
Austin,"Beethoven, Ludwig van","Three Equali, WoO 30"
Austin,"Beethoven, Ludwig van",Zapfenstreich March WoO 20
Baltimore,"Beethoven, Ludwig van",Fidelio (opera in concert)
Baltimore,"Beethoven, Ludwig van",Namensfeirer Overture
Baltimore,"Beethoven, Ludwig van",Piano Concerto No. 4
Baltimore,"Beethoven, Ludwig van",Symphony No. 5
Boston,"Beethoven, Ludwig van",Consecration of the House Overture
Boston,"Beethoven, Ludwig van",Egmont Overture
Boston,"Beethoven, Ludwig van",Piano Concerto No. 1
Boston,"Beethoven, Ludwig van",Piano Concerto No. 2
Boston,"Beethoven, Ludwig van",Piano Concerto No. 3
Boston,"Beethoven, Ludwig van",Symphony No. 1
Boston,"Beethoven, Ludwig van",Symphony No. 2
Boston,"Beethoven, Ludwig van",Symphony No. 3
Boston,"Beethoven, Ludwig van",Symphony No. 4
Boston,"Beethoven, Ludwig van",Symphony No. 5
Boston,"Beethoven, Ludwig van",Symphony No. 6
Boston,"Beethoven, Ludwig van",Symphony No. 7
Boston,"Beethoven, Ludwig van",Symphony No. 8
Boston,"Beethoven, Ludwig van",Symphony No. 9
Buffalo,"Beethoven, Ludwig van",Piano Concerto No. 1
Buffalo,"Beethoven, Ludwig van",Piano Concerto No. 5
Buffalo,"Beethoven, Ludwig van",Symphony No. 5
California,"Beethoven, Ludwig van",Piano Concerto No. 5
Canton,"Beethoven, Ludwig van",Lenore Overture No. 3
Canton,"Beethoven, Ludwig van",Wellington's Victory
Cape,"Beethoven, Ludwig van",Egmont Overture
Cape,"Beethoven, Ludwig van",Lenore Overture No. 3
Cape,"Beethoven, Ludwig van",Piano Concerto No. 5
Cape,"Beethoven, Ludwig van",Symphony No. 9
Charleston,"Beethoven, Ludwig van",Piano Concerto No. 5
Charleston,"Beethoven, Ludwig van",Symphony No. 1
Charleston,"Beethoven, Ludwig van",Symphony No. 2
Charleston,"Beethoven, Ludwig van",Symphony No. 3
Charleston,"Beethoven, Ludwig van",Symphony No. 5
Charleston,"Beethoven, Ludwig van",Symphony No. 6
Charleston,"Beethoven, Ludwig van",Symphony No. 7
Charleston,"Beethoven, Ludwig van",Symphony No. 8
Charleston,"Beethoven, Ludwig van",Symphony No. 9
Charlotte,"Beethoven, Ludwig van",Egmont Overture
Charlotte,"Beethoven, Ludwig van",Piano Concerto No. 3
Charlotte,"Beethoven, Ludwig van",Symphony No. 3
Charlotte,"Beethoven, Ludwig van",Symphony No. 5
Charlotte,"Beethoven, Ludwig van",Symphony No. 7
Charlotte,"Beethoven, Ludwig van",Symphony No. 9
Charlotte,"Beethoven, Ludwig van",Triple Concerto
Charlotte,"Beethoven, Ludwig van",Violin Concerto
Chattanooga,"Beethoven, Ludwig van",Piano Concerto No. 5
Chattanooga,"Beethoven, Ludwig van",Symphony No. 3
Chicago,"Beethoven, Ludwig van",Lenore Overture No. 3
Chicago,"Beethoven, Ludwig van",Missa Solemnis
Chicago,"Beethoven, Ludwig van",Piano Concerto No. 3
Chicago,"Beethoven, Ludwig van",Romance No. 2 in F Major
Chicago,"Beethoven, Ludwig van",Symphony No. 5
Chicago,"Beethoven, Ludwig van",Symphony No. 8
Cleveland,"Beethoven, Ludwig van",Overture to König Stephan
Cleveland,"Beethoven, Ludwig van",Piano Concerto No. 2
Cleveland,"Beethoven, Ludwig van",Piano Concerto No. 4
Cleveland,"Beethoven, Ludwig van",Symphony No. 1
Cleveland,"Beethoven, Ludwig van",Symphony No. 9
Colorado,"Beethoven, Ludwig van",Creatures of Prometheus—Selections
Colorado,"Beethoven, Ludwig van",Egmont — Incidental Music
Colorado,"Beethoven, Ludwig van",Piano Concerto No. 5
Colorado,"Beethoven, Ludwig van",Symphony No. 5
Colorado,"Beethoven, Ludwig van",Symphony No. 6
Colorado Springs,"Beethoven, Ludwig van",Fidelio Overture
Colorado Springs,"Beethoven, Ludwig van",Piano Concerto No. 1
Colorado Springs,"Beethoven, Ludwig van",Piano Concerto No. 2
Colorado Springs,"Beethoven, Ludwig van",Piano Concerto No. 3
Colorado Springs,"Beethoven, Ludwig van",Piano Concerto No. 4
Colorado Springs,"Beethoven, Ludwig van",Piano Concerto No. 5
Columbus,"Beethoven, Ludwig van",Symphony No. 5
Dallas,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Dallas,"Beethoven, Ludwig van",Piano Concerto No. 2
Dallas,"Beethoven, Ludwig van",Piano Concerto No. 3
Dallas,"Beethoven, Ludwig van",Romance No. 1 in G Major
Dallas,"Beethoven, Ludwig van",Symphony No. 1
Dallas,"Beethoven, Ludwig van",Symphony No. 3
Dallas,"Beethoven, Ludwig van",Violin Concerto
Des Moines,"Beethoven, Ludwig van",Allegretto from Symphony no. 7
Des Moines,"Beethoven, Ludwig van",Lenore Overture No. 3
Des Moines,"Beethoven, Ludwig van",Piano Concerto No. 1
Des Moines,"Beethoven, Ludwig van",Piano Concerto No. 3
Des Moines,"Beethoven, Ludwig van",Symphony No. 5
Des Moines,"Beethoven, Ludwig van",Symphony No. 9
Des Moines,"Beethoven, Ludwig van",Triple Concerto
Des Moines,"Beethoven, Ludwig van",Violin Concerto
Detroit,"Beethoven, Ludwig van",Piano Concerto No. 4
Detroit,"Beethoven, Ludwig van",Symphony No. 3
Detroit,"Beethoven, Ludwig van",Symphony No. 3
Detroit,"Beethoven, Ludwig van",Symphony No. 9
Elgin,"Beethoven, Ludwig van",Piano Concerto No. 4
Elgin,"Beethoven, Ludwig van",Symphony No. 3
Elgin,"Beethoven, Ludwig van",Symphony No. 9
Evansville,"Beethoven, Ludwig van",Violin Concerto
Florida,"Beethoven, Ludwig van",Egmont Overture
Florida,"Beethoven, Ludwig van",Missa Solemnis
Florida,"Beethoven, Ludwig van",Piano Concerto No. 1
Florida,"Beethoven, Ludwig van",Piano Concerto No. 2
Florida,"Beethoven, Ludwig van",Piano Concerto No. 5
Florida,"Beethoven, Ludwig van",Symphony No. 1
Florida,"Beethoven, Ludwig van",Symphony No. 6
Florida,"Beethoven, Ludwig van",Symphony No. 7
Florida,"Beethoven, Ludwig van",Symphony No. 9
Fort Worth,"Beethoven, Ludwig van",Symphony No. 6
Fort Worth,"Beethoven, Ludwig van",Symphony No. 7
Grand Rapids,"Beethoven, Ludwig van",Symphony No. 5
Grant Park,"Beethoven, Ludwig van",Mass in C
Grant Park,"Beethoven, Ludwig van",Piano Concerto No. 4
Grant Park,"Beethoven, Ludwig van",Symphony No. 3
Grant Park,"Beethoven, Ludwig van",Triple Concerto
Greensboro,"Beethoven, Ludwig van",Symphony No. 7
Greensboro,"Beethoven, Ludwig van",Symphony No. 9
Harrisburg,"Beethoven, Ludwig van",Symphony No. 3
Hartford,"Beethoven, Ludwig van",Missa Solemnis
Hartford,"Beethoven, Ludwig van",Symphony No. 7
Houston,"Beethoven, Ludwig van",Missa Solemnis
Houston,"Beethoven, Ludwig van",Piano Concerto No. 2
Houston,"Beethoven, Ludwig van",Piano Concerto No. 4
Houston,"Beethoven, Ludwig van",Symphony No. 4
Houston,"Beethoven, Ludwig van",Symphony No. 5
Houston,"Beethoven, Ludwig van",Symphony No. 6
Houston,"Beethoven, Ludwig van",Symphony No. 9
Indianapolis,"Beethoven, Ludwig van",Ah! perfido
Indianapolis,"Beethoven, Ludwig van",Coriolan Overture
Indianapolis,"Beethoven, Ludwig van",Egmont Overture
Indianapolis,"Beethoven, Ludwig van",Lenore Overture No. 3
Indianapolis,"Beethoven, Ludwig van",Romance No. 2 in F Major
Indianapolis,"Beethoven, Ludwig van",Symphony No. 6
Indianapolis,"Beethoven, Ludwig van",Symphony No. 7
Indianapolis,"Beethoven, Ludwig van",Symphony No. 8
Indianapolis,"Beethoven, Ludwig van",Symphony No. 9
Indianapolis,"Beethoven, Ludwig van",Violin Concerto
Kansas City,"Beethoven, Ludwig van",Missa Solemnis
Kansas City,"Beethoven, Ludwig van",Piano Concerto No. 3
Kansas City,"Beethoven, Ludwig van",Symphony No. 3
Las Colinas,"Beethoven, Ludwig van",Coriolan Overture
Las Colinas,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Las Colinas,"Beethoven, Ludwig van",Lenore Overture No. 1
Las Colinas,"Beethoven, Ludwig van",Piano Concerto No. 1
Las Colinas,"Beethoven, Ludwig van",Symphony No. 2
Las Colinas,"Beethoven, Ludwig van",Symphony No. 4
Las Colinas,"Beethoven, Ludwig van",Symphony No. 7
Las Colinas,"Beethoven, Ludwig van",Symphony No. 8
Las Colinas,"Beethoven, Ludwig van",Violin Concerto
Long Beach,"Beethoven, Ludwig van",Symphony No. 7
Los Angeles,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Los Angeles,"Beethoven, Ludwig van",Lenore Overture No. 3
Los Angeles,"Beethoven, Ludwig van",Piano Concerto No. 3
Los Angeles,"Beethoven, Ludwig van",Symphony No. 2
Los Angeles,"Beethoven, Ludwig van",Symphony No. 7
Los Angeles Chamber,"Beethoven, Ludwig van",Piano Concerto No. 5
Los Angeles Chamber,"Beethoven, Ludwig van",Symphony No. 5
Los Angeles Chamber,"Beethoven, Ludwig van",Symphony No. 8
Los Angeles Chamber,"Beethoven, Ludwig van",Symphony No. 9
Louisiana,"Beethoven, Ludwig van",Coriolan Overture
Louisiana,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Louisiana,"Beethoven, Ludwig van",Egmont Overture
Louisiana,"Beethoven, Ludwig van",Missa Solemnis
Louisiana,"Beethoven, Ludwig van",Symphony No. 2
Louisiana,"Beethoven, Ludwig van",Violin Concerto
Louisville,"Beethoven, Ludwig van",Missa Solemnis
Madison,"Beethoven, Ludwig van",Egmont Overture
Madison,"Beethoven, Ludwig van",Missa Solemnis
Madison,"Beethoven, Ludwig van",Piano Concerto No. 5
Madison,"Beethoven, Ludwig van",Symphony No. 3
Madison,"Beethoven, Ludwig van",Symphony No. 5
Madison,"Beethoven, Ludwig van",Symphony No. 9
Madison,"Beethoven, Ludwig van",Violin Concerto
Memphis,"Beethoven, Ludwig van",Egmont Overture
Memphis,"Beethoven, Ludwig van",Symphony No. 9
Milwaukee,"Beethoven, Ludwig van",Coriolan Overture
Milwaukee,"Beethoven, Ludwig van",Symphony No. 7
Milwaukee,"Beethoven, Ludwig van",Symphony No. 9
Minnesota,"Beethoven, Ludwig van",Missa Solemnis
Minnesota,"Beethoven, Ludwig van",Symphony No. 1
Minnesota,"Beethoven, Ludwig van",Symphony No. 6
Minnesota,"Beethoven, Ludwig van",Symphony No. 9
Naples,"Beethoven, Ludwig van",Symphony No. 3
Naples,"Beethoven, Ludwig van",Symphony No. 9
Nashville,"Beethoven, Ludwig van",Große Fuge
Nashville,"Beethoven, Ludwig van",Missa Solemnis
Nashville,"Beethoven, Ludwig van",Symphony No. 1
Nashville,"Beethoven, Ludwig van",Symphony No. 5
Nashville,"Beethoven, Ludwig van",Symphony No. 9
National,"Beethoven, Ludwig van",Missa Solemnis
National,"Beethoven, Ludwig van",Piano Concerto No. 1
National,"Beethoven, Ludwig van",Piano Concerto No. 3
National,"Beethoven, Ludwig van",Violin Concerto
New Jersey,"Beethoven, Ludwig van",Symphony No. 5
New Jersey,"Beethoven, Ludwig van",Symphony No. 7
New Jersey,"Beethoven, Ludwig van",Violin Concerto
New Jersey,"Beethoven, Ludwig van",Wellington's Victory
New York,"Beethoven, Ludwig van",Coriolan Overture
New York,"Beethoven, Ludwig van",Lenore Overture No. 3
New York,"Beethoven, Ludwig van",Piano Concerto No. 3
New York,"Beethoven, Ludwig van",Piano Concerto No. 5
New York,"Beethoven, Ludwig van",Symphony No. 1
New York,"Beethoven, Ludwig van",Symphony No. 6
New York,"Beethoven, Ludwig van",Symphony No. 8
New York,"Beethoven, Ludwig van",Violin Concerto
North Carolina,"Beethoven, Ludwig van",Piano Concerto No. 2
North Carolina,"Beethoven, Ludwig van",Symphony No. 3
North Carolina,"Beethoven, Ludwig van",Symphony No. 5
North Carolina,"Beethoven, Ludwig van",Triple Concerto
North Carolina,"Beethoven, Ludwig van",Violin Concerto
Oklahoma City,"Beethoven, Ludwig van",Fidelio Overture
Oklahoma City,"Beethoven, Ludwig van",Piano Concerto No. 5
Oklahoma City,"Beethoven, Ludwig van",Symphony No. 7
Oregon,"Beethoven, Ludwig van",Symphony No. 4
Orlando,"Beethoven, Ludwig van",Kreutzer Sonata
Orlando,"Beethoven, Ludwig van",Choral Fantasy
Orlando,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Orlando,"Beethoven, Ludwig van",Piano Concerto No. 5
Orlando,"Beethoven, Ludwig van",Symphony No. 4
Orlando,"Beethoven, Ludwig van",Wellington's Victory
Orpheus,"Beethoven, Ludwig van",Egmont — Incidental Music
Pacific,"Beethoven, Ludwig van",Piano Concerto No. 2
Pacific,"Beethoven, Ludwig van",Symphony No. 3
Pasadena,"Beethoven, Ludwig van",Symphony No. 7
Philadelphia,"Beethoven, Ludwig van",Missa Solemnis
Philadelphia,"Beethoven, Ludwig van",Piano Concerto No. 2
Phoenix,"Beethoven, Ludwig van",Coriolan Overture
Phoenix,"Beethoven, Ludwig van",Egmont Overture
Phoenix,"Beethoven, Ludwig van",Piano Concerto No. 3
Phoenix,"Beethoven, Ludwig van",Symphony No. 1
Phoenix,"Beethoven, Ludwig van",Symphony No. 7
Phoenix,"Beethoven, Ludwig van",Symphony No. 8
Phoenix,"Beethoven, Ludwig van",Violin Concerto
Pittsburgh,"Beethoven, Ludwig van",Fidelio Overture
Pittsburgh,"Beethoven, Ludwig van",Piano Concerto No. 1
