ENSEMBLE,COMPOSER,WORK,COMP.CODE,ARR.CODE,COMP.LIVE,ARR.LIVE,LAO.GROUP
St. Paul Chamber,"Corigliano, John",Voyage for Flute and Orchestra,1,,1,,1
Tucson,"Corigliano, John",Troubadours for Guitar and Orchestra,1,,1,,3
Peoria,Couperin,Pieces en Concert,1,,2,,5
Detroit,"Crosmer, Jeremy",Ozark Traveler,1,,1,,1
Cincinnati,"Currier, Sebastian",New Work,1,,1,,1
Orchestra Iowa,Custer (arr.),Star Trek Through the Years,1,,2,,4
Milwaukee,"Dall'negro, Michele",La primavera,1,,2,,1
Alabama,"Danielpour, Richard",Clarinet Concerto,1,,1,,3
Reading,"Danielpour, Richard",Viola Concerto,1,,1,,6
West Virginia,"Danielpour, Richard",The Wounded Healer- Percussion Concerto,1,,1,,3
Oklahoma City,"Danna, Mychael",Suite from Life of Pi,1,,1,,3
Promusica Chamber,"Danzmayr, Wolfgang",Elegie,1,,1,,6
Kansas City,"Daugherty, Michael",Once Upon A Castle for Organ and Orchestra,1,,1,,2
Minnesota,"Daugherty, Michael",Tales of Hemingway for cello and orchestra,1,,1,,1
Orchestra Iowa,"Daugherty, Michael",Reflections on the Mississippi,1,,1,,4
Philadelphia,"Daugherty, Michael",Once Upon A Castle for Organ and Orchestra,1,,1,,1
Wichita,"Daugherty, Michael",Tales of Hemingway for cello and orchestra,1,,1,,4
Utah,"de Cusatis, Nathan Lincoln",The Maze,1,,1,,1
Minnesota,"Dean, Brett",Cello Concerto,1,,1,,1
New York,"Dean, Brett",Cello Concerto,1,,1,,1
San Diego,"Dean, Brett",Testament,1,,1,,1
Amarillo,Debussy,Prelude to the Afternoon of a Faun,1,,2,,5
Arkansas,Debussy,Prelude to the Afternoon of a Faun,1,,2,,3
Baltimore,Debussy,Nocturnes,1,,2,,1
Boston,Debussy,La Mer,1,,2,,1
Buffalo,Debussy,Prelude to the Afternoon of a Faun,1,,2,,2
Charlotte,Debussy,Prelude to the Afternoon of a Faun,1,,2,,2
Chattanooga,Debussy,Images: Ibéria,1,,2,,6
Cleveland,Debussy,La Mer,1,,2,,1
Colorado,Debussy,La Mer,1,,2,,6
Dallas,Debussy,La Mer,1,,2,,1
Dallas,Debussy,Prelude to the Afternoon of a Faun,1,,2,,1
Detroit,Debussy,La Mer,1,,2,,1
Elgin,Debussy,Prelude to the Afternoon of a Faun,1,,2,,6
Erie,Debussy,Three Transcriptions for Trumpet and Orchestra,1,,2,,5
Grand Rapids,Debussy,Prelude to the Afternoon of a Faun,1,,2,,2
Harrisburg,Debussy,La Mer,1,,2,,4
Houston,Debussy,Images,1,,2,,1
Indianapolis,Debussy,La Mer,1,,2,,1
Knoxville,Debussy,Clair de lune,1,,2,,3
Long Beach,Debussy,Clair de lune,1,,2,,6
Louisiana,Debussy,Nocturnes,1,,2,,3
Louisville,Debussy,La Mer,1,,2,,3
Madison,Debussy,Prelude to the Afternoon of a Faun,1,,2,,3
Midland-Odessa,Debussy,Prelude to the Afternoon of a Faun,1,,2,,5
Milwaukee,Debussy,Première rapsodie,1,,2,,1
Minnesota,Debussy,Jeux,1,,2,,1
Nashville,Debussy,La Mer,1,,2,,1
National Symphony,Debussy,Prelude to the Afternoon of a Faun,1,,2,,1
New York,Debussy,Nocturnes,1,,2,,1
New York,Debussy,Prelude to the Afternoon of a Faun,1,,2,,1
North Carolina,Debussy,Jeux,1,,2,,2
North Carolina,Debussy,Nocturnes,1,,2,,2
Oklahoma City,Debussy,La Mer,1,,2,,3
Omaha,Debussy,La Mer,1,,2,,2
Pasadena,Debussy,La Mer,1,,2,,6
Phoenix,Debussy,Prelude to the Afternoon of a Faun,1,,2,,2
Pittsburgh,Debussy,La Mer,1,,2,,1
Rochester,Debussy,Printemps,1,,2,,2
San Diego,Debussy,La Mer,1,,2,,1
Santa Barbara,Debussy,Nocturnes,1,,2,,3
Sarasota,Debussy,Images: Ibéria,1,,2,,2
Spokane,Debussy,Clair de lune,1,,2,,3
Spokane,Debussy,Nocturnes,1,,2,,3
St. Louis,Debussy,La Mer,1,,2,,1
Stamford,Debussy,Danse sacrée et dance profane,1,,2,,5
Tulsa,Debussy,Images,1,,2,,4
Utah,Debussy,Images: Ibéria,1,,2,,1
Utah,Debussy,La Mer,1,,2,,1
York,Debussy,La Mer,1,,2,,5
York,Debussy,Prelude to the Afternoon of a Faun,1,,2,,5
Boston,Debussy/Altinoglu,Suite from Pelleas et Melisande,1,1,2,2,1
Richmond,Debussy/Büsser,Petite Suite,1,1,2,2,3
San Antonio,Debussy/Matthews,Les collines d'Anacapri and La puerta del vino,1,1,2,2,6
San Diego,Debussy/Molinari,The Isle of Joy,1,1,2,2,1
Orpheus,Delibes,Les Filles de Cadix,1,,2,,2
Akron,Delius,Appalachia,1,,2,,5
Grant Park,Delius,A Mass of Life,1,,2,,3
Las Colinas,Delius,The Walk to the Paradise Garden,1,,2,,5
Portland,Delius,The Walk to the Paradise Garden,1,,2,,3
Tacoma,Delius,On Hearing the First Cuckoo in Spring,1,,2,,5
Santa Cruz,Denza,Funiculi Funicula,1,,2,,5
Cincinnati,"Dessner, Bryce",Concerto for Two Pianos,1,,1,,1
New York,"Dessner, Bryce",Wires,1,,1,,1
Cleveland,"Deutsch, Bernd Richard",New work,1,,1,,1
Toledo,"Dietz, Christopher",Origin Story,1,,1,,3
Harrisburg,"Dilorenzo, Anthony",Trumpet Concerto,1,,1,,4
South Bend,"Dilorenzo, Anthony",Jabberwocky,1,,1,,5
Chicago,"Dorman, Avner",Eternal Rhythm,1,,1,,1
Knoxville,"Dorman, Avner","Spices, Perfumes, Toxins!",1,,1,,3
Boise,Dukas,The Sorcerer's Apprentice,1,,2,,5
Cleveland,Dukas,The Sorcerer's Apprentice,1,,2,,1
Hartford,Dukas,The Sorcerer's Apprentice,1,,2,,3
Nashville,Dukas,The Sorcerer's Apprentice,1,,2,,1
Philadelphia,Dukas,The Sorcerer's Apprentice,1,,2,,1
San Diego,Dukas,The Sorcerer's Apprentice,1,,2,,1
San Francisco,Dukas,La Péri,1,,2,,1
Austin,Duruflé,Requiem,1,,2,,3
Boston,Duruflé,Requiem,1,,2,,1
Los Angeles,Duruflé,Requiem,1,,2,,1
Houston,Dutilleux,Métaboles,1,,2,,1
Jacksonville,Dutilleux,Métaboles,1,,2,,2
Kansas City,Dutilleux,Violin Concerto L'arbre des songes,1,,2,,2
Oregon,Dutilleux,Métaboles,1,,2,,1
Utah,Dutilleux,Dutilleux,1,,2,,1
Alabama,Dvořák,Carnival Overture,1,,2,,3
Alabama,Dvořák,Symphony No. 8,1,,2,,3
Ann Arbor,Dvořák,Cello Concerto,1,,2,,5
Arkansas,Dvořák,Cello Concerto,1,,2,,3
Augusta,Dvořák,Cello Concerto,1,,2,,5
Baltimore,Dvořák,Symphony No. 7,1,,2,,1
Boise,Dvořák,Golden Spinning Wheel,1,,2,,5
Boston,Dvořák,Symphony No. 9,1,,2,,1
Buffalo,Dvořák,Symphony No. 8,1,,2,,2
Canton,Dvořák,Te Deum,1,,2,,5
Charleston,Dvořák,Symphony No. 9,1,,2,,3
Charlotte,Dvořák,Symphony No. 9,1,,2,,2
Chautauqua,Dvořák,Symphony No. 7,1,,2,,6
Chicago,Dvořák,Carnival Overture,1,,2,,1
Chicago,Dvořák,Piano Concerto,1,,2,,1
Chicago,Dvořák,Symphony No. 8,1,,2,,1
Cincinnati,Dvořák,Symphony No. 9,1,,2,,1
Cleveland,Dvořák,Cello Concerto,1,,2,,1
Cleveland,Dvořák,Symphony No. 4,1,,2,,1
Cleveland,Dvořák,Symphony No. 9,1,,2,,1
Colorado,Dvořák,Symphony No. 7,1,,2,,6
Dallas,Dvořák,Carnival Overture,1,,2,,1
Dallas,Dvořák,Cello Concerto,1,,2,,1
Dallas,Dvořák,Romance for Violin & Orchestra,1,,2,,1
Dallas,Dvořák,Rondo for Cello & Orchestra,1,,2,,1
Dallas,Dvořák,Silent Woods for Cello and Orchestra,1,,2,,1
Dallas,Dvořák,Slavonic Dances No. 7 & 8,1,,2,,1
Dallas,Dvořák,Symphony No. 8,1,,2,,1
Dallas,Dvořák,Violin Concerto,1,,2,,1
Des Moines,Dvořák,Symphony No. 8,1,,2,,6
Detroit,Dvořák,Slavonic Dances No. 7 & 8,1,,2,,1
Detroit,Dvořák,Symphony No. 8,1,,2,,1
Detroit,Dvořák,Violin Concerto,1,,2,,1
Elgin,Dvořák,Symphony No. 8,1,,2,,6
Erie,Dvořák,Symphony No. 8,1,,2,,5
Fort Worth,Dvořák,Symphony No. 7,1,,2,,2
Fort Worth,Dvořák,Violin Concerto,1,,2,,2
Grant Park,Dvořák,Symphony No. 7,1,,2,,3
Hartford,Dvořák,Symphony No. 8,1,,2,,3
Indianapolis,Dvořák,"Slavonic Dances No. 1, 5, & 8",1,,2,,1
Jacksonville,Dvořák,Symphony No. 8,1,,2,,2
Kansas City,Dvořák,Violin Concerto,1,,2,,2
Knoxville,Dvořák,Symphony No. 7,1,,2,,3
LA Chamber,Dvořák,Symphony No. 6,1,,2,,2
Las Vegas,Dvořák,Symphony No. 8,1,,2,,5
Long Beach,Dvořák,Violin Concerto,1,,2,,6
Los Angeles,Dvořák,Symphony No. 7,1,,2,,1
Los Angeles,Dvořák,Symphony No. 8,1,,2,,1
Los Angeles,Dvořák,Symphony No. 9,1,,2,,1
Los Angeles,Dvořák,Symphony No. 9,1,,2,,1
Louisiana,Dvořák,Symphony No. 9,1,,2,,3
Louisville,Dvořák,Symphony No. 9,1,,2,,3
Madison,Dvořák,Requiem,1,,2,,3
Madison,Dvořák,Symphony No. 7,1,,2,,3
Memphis,Dvořák,My Home Overture,1,,2,,3
Milwaukee,Dvořák,Te Deum,1,,2,,1
Minnesota,Dvořák,Romance for Violin & Orchestra,1,,2,,1
Minnesota,Dvořák,Slavonic Dances,1,,2,,1
Modesto,Dvořák,Cello Concerto,1,,2,,5
Naples,Dvořák,Cello Concerto,1,,2,,2
Nashville,Dvořák,Slavonic Dance No. 1,1,,2,,1
National Symphony,Dvořák,Carnival Overture,1,,2,,1
National Symphony,Dvořák,Cello Concerto,1,,2,,1
National Symphony,Dvořák,Symphony No. 8,1,,2,,1
National Symphony,Dvořák,Symphony No. 9,1,,2,,1
National Symphony,Dvořák,Violin Concerto,1,,2,,1
New Jersey,Dvořák,Symphony No. 8,1,,2,,2
New York,Dvořák,Symphony No. 6,1,,2,,1
New York,Dvořák,Symphony No. 9,1,,2,,1
North Carolina,Dvořák,Symphony No. 9,1,,2,,2
Oklahoma City,Dvořák,Symphony No. 8,1,,2,,3
Omaha,Dvořák,Serenade in D minor for winds,1,,2,,2
Omaha,Dvořák,Symphony No. 9,1,,2,,2
Oregon,Dvořák,Symphony No. 8,1,,2,,1
Oregon,Dvořák,The Golden Spinning Wheel,1,,2,,1
Pacific,Dvořák,Symphony No. 8,1,,2,,1
Philadelphia,Dvořák,Symphony No. 9,1,,2,,1
Pittsburgh,Dvořák,Scherzo capriccioso,1,,2,,1
Plano,Dvořák,Carnival Overture,1,,2,,5
Portland,Dvořák,Violin Concerto,1,,2,,3
Richmond,Dvořák,Serenade in D minor for winds,1,,2,,3
Rochester,Dvořák,Symphony No. 8,1,,2,,2
San Antonio,Dvořák,Cello Concerto,1,,2,,6
San Diego,Dvořák,Symphony No. 8,1,,2,,1
San Francisco,Dvořák,Symphony No. 9,1,,2,,1
Santa Cruz,Dvořák,Symphony No. 7,1,,2,,5
Sarasota,Dvořák,Legends,1,,2,,2
Sarasota,Dvořák,Symphony No. 6,1,,2,,2
Sarasota,Dvořák,Violin Concerto,1,,2,,2
Seattle,Dvořák,Cello Concerto,1,,2,,1
Seattle,Dvořák,Symphony No. 8,1,,2,,1
St. Louis,Dvořák,Symphony No. 9,1,,2,,1
Stamford,Dvořák,Serenade for strings,1,,2,,5
Stamford,Dvořák,Symphony No. 7,1,,2,,5
Toledo,Dvořák,Cello Concerto,1,,2,,3
Utah,Dvořák,Symphony No. 8,1,,2,,1
Wichita,Dvořák,Symphony No. 9,1,,2,,4
York,Dvořák,Cello Concerto,1,,2,,5
Quad City,"Dzubay, David",Autumn Rivulets,1,,1,,4
Elgin,Edwards,Maninyas Violin Concerto,1,,2,,6
Buffalo,"Elfman, Danny",Concerto for Violin & Orchestra,1,,1,,2
Alabama,Elgar,Enigma Variations,1,,2,,3
Atlanta,Elgar,Enigma Variations,1,,2,,1
Austin,Elgar,Pomp and Circumstance March No. 4,1,,2,,3
Boston,Elgar,Cello Concerto,1,,2,,1
Buffalo,Elgar,Enigma Variations,1,,2,,2
Buffalo,Elgar,Symphony No. 1,1,,2,,2
Charlotte,Elgar,In The South,1,,2,,2
Chattanooga,Elgar,In The South,1,,2,,6
Colorado,Elgar,Enigma Variations,1,,2,,6
Dallas,Elgar,Introduction and Allegro for Strings,1,,2,,1
Dallas,Elgar,Violin Concerto,1,,2,,1
Des Moines,Elgar,Cello Concerto,1,,2,,6
Des Moines,Elgar,Polonia,1,,2,,6
Elgin,Elgar,In The South,1,,2,,6
Eugene,Elgar,Enigma Variations,1,,2,,4
Hartford,Elgar,Cello Concerto,1,,2,,3
Hartford,Elgar,Enigma Variations,1,,2,,3
Indianapolis,Elgar,Cello Concerto,1,,2,,1
Indianapolis,Elgar,Enigma Variations,1,,2,,1
Jacksonville,Elgar,Enigma Variations,1,,2,,2
Jacksonville,Elgar,In The South,1,,2,,2
Jacksonville,Elgar,Violin Concerto,1,,2,,2
Louisiana,Elgar,Violin Concerto,1,,2,,3
Milwaukee,Elgar,Cello Concerto,1,,2,,1
Minnesota,Elgar,Enigma Variations,1,,2,,1
Nashville,Elgar,Symphony No. 1,1,,2,,1
New Jersey,Elgar,Pomp and Circumstance March No. 1,1,,2,,2
New York,Elgar,Enigma Variations,1,,2,,1
North Carolina,Elgar,Enigma Variations,1,,2,,2
Philadelphia,Elgar,In The South,1,,2,,1
Philadelphia,Elgar,Introduction and Allegro for Strings,1,,2,,1
Pittsburgh,Elgar,"Cockaigne (""In London Town"")",1,,2,,1
Portland,Elgar,Cello Concerto,1,,2,,3
Princeton,Elgar,Cello Concerto,1,,2,,5
Reno,Elgar,Enigma Variations,1,,2,,4
Richmond,Elgar,Serenade in E minor for strings,1,,2,,3
River Oaks,Elgar,Sospiri,1,,2,,5
Rochester,Elgar,Cello Concerto,1,,2,,2
San Diego,Elgar,Enigma Variations,1,,2,,1
San Francisco,Elgar,Enigma Variations,1,,2,,1
Sarasota,Elgar,In The South,1,,2,,2
St. Louis,Elgar,Symphony No. 1,1,,2,,1
Tucson,Elgar,Enigma Variations,1,,2,,3
Virginia,Elgar,Cello Concerto,1,,2,,3
Minnesota,Enescu,Symphony No. 1,1,,2,,1
Nashville,Enescu,Romanian Rhapsody No. 1,1,,2,,1
Nashville,Enescu,Romanian Rhapsody No. 2,1,,2,,1
Orchestra Iowa,Enescu,Romanian Rhapsody No. 2,1,,2,,4
St. Louis,Enescu,Romanian Rhapsody No. 2,1,,2,,1
St. Paul Chamber,Enescu,Octect in C for String Orchestra,1,,2,,1
Allentown,"Ewazen, Eric",Concertino for Organ & Orchestra,1,,1,,3
Detroit,"Fagerlund, Sebastian",Drifts,1,,1,,1
Minnesota,"Fagerlund, Sebastian",Water Atlas,1,,1,,1
Alabama,Falla,El Amor Brujo,1,,2,,3
Atlanta,Falla,Nights in the Gardens of Spain,1,,2,,1
Cincinnati,Falla,Nights in the Gardens of Spain,1,,2,,1
Milwaukee,Falla,Nights in the Gardens of Spain,1,,2,,1
Mobile,Falla,Nights in the Gardens of Spain,1,,2,,5
New Jersey,Falla,Three-Cornered Hat,1,,2,,2
Pasadena,Falla,El Amor Brujo,1,,2,,6
Pasadena,Falla,Three-Cornered Hat,1,,2,,6
Richmond,Falla,Three-Cornered Hat,1,,2,,3
River Oaks,Falla,El Amor Brujo,1,,2,,5
San Antonio,Falla,Three-Cornered Hat,1,,2,,6
South Bend,Falla,El Amor Brujo,1,,2,,5
Utah,Falla,Three-Cornered Hat,1,,2,,1
Boston,Fauré,Pavane,1,,2,,1
Charleston,Fauré,Requiem,1,,2,,3
Eugene,Fauré,Pavane,1,,2,,4
Los Angeles,Fauré,Requiem,1,,2,,1
Quad City,Fauré,Pelleas et Melisande Suite,1,,2,,4
Sacramento,Fauré,Requiem,1,,2,,5
St. Paul Chamber,Fauré,Suite from Masques et Bergamasques,1,,2,,1
Buffalo,"Felder, David",Dammerungen,1,,1,,2
Milwaukee,"Finnis, Edmund","The Air, Turning",1,,2,,1
Las Colinas,Finzi,The Fall of the Leaf,1,,2,,5
Santa Rosa,"Fleck, Béla",Juno Concerto for Banjo and Orchestra,1,,1,,3
Winston-Salem,"Foss, Lukas",Renissance Concerto,1,,2,,4
Austin,Franck,Le Chasseur maudit,1,,2,,3
Hartford,Franck,Symphony in D Minor,1,,2,,3
Long Beach,Franck,Le Chasseur maudit,1,,2,,6
Wisconsin Chamber,"Fraser, Donald",Sinfonietta,1,,1,,3
Buffalo,"Fuchs, Kenneth",Concerto for Alto Saxophone and Orchestra,1,,1,,2
Milwaukee,Gabrieli,Canzoni,1,,2,,1
Memphis,"Gandolfi, Michael",World premiere,1,,1,,3
Richmond,"Gandolfi, Michael",The Garden of Cosmic Speculation,1,,1,,3
Toledo,Geminiani,Concerto Grosso No. 5,1,,2,,3
River Oaks,"Gerraughty, Jason",New work,1,,1,,5
Albany,Gershwin,Rhapsody in Blue,1,,2,,4
Augusta,Gershwin,Concerto in F,1,,2,,5
Austin,Gershwin,Rhapsody in Blue,1,,2,,3
Boise,Gershwin,Piano Concerto,1,,2,,5
Boston,Gershwin,Piano Concerto,1,,2,,1
Chautauqua,Gershwin,Rhapsody in Blue,1,,2,,6
Chicago,Gershwin,Porgy and Bess,1,,2,,1
Chicago,Gershwin,Rhapsody in Blue,1,,2,,1
Cincinnati,Gershwin,Rhapsody in Blue,1,,2,,1
Colorado Springs,Gershwin,Cuban Overture,1,,2,,3
Florida,Gershwin,American in Paris,1,,2,,2
Florida,Gershwin,Cuban Overture,1,,2,,2
Grant Park,Gershwin,Concerto in F,1,,2,,3
Grant Park,Gershwin,Cuban Overture,1,,2,,3
Harrisburg,Gershwin,Porgy and Bess,1,,2,,4
Hartford,Gershwin,"""I Got Rhythm"" Variations for Piano and Orchestra",1,,2,,3
Hartford,Gershwin,Rhapsody in Blue,1,,2,,3
Houston,Gershwin,Piano Concerto,1,,2,,1
Houston,Gershwin,Porgy and Bess,1,,2,,1
Jacksonville,Gershwin,Rhapsody in Blue,1,,2,,2
Kalamazoo,Gershwin,Rhapsody in Blue,1,,2,,5
Las Colinas,Gershwin,Concerto in F,1,,2,,5
Los Angeles,Gershwin,Concerto in F,1,,2,,1
Mobile,Gershwin,Cuban Overture,1,,2,,5
National Symphony,Gershwin,American in Paris,1,,2,,1
North Carolina,Gershwin,American in Paris,1,,2,,2
North Carolina,Gershwin,I Got Rhythm Variations,1,,2,,2
Omaha,Gershwin,Rhapsody in Blue,1,,2,,2
Oregon,Gershwin,American in Paris,1,,2,,1
Orlando,Gershwin,Rhapsody in Blue,1,,2,,3
Pacific,Gershwin,American in Paris,1,,2,,1
Pacific,Gershwin,Rhapsody in Blue,1,,2,,1
Pasadena,Gershwin,Porgy and Bess: Fantasy for Violin and Orchestra,1,,2,,6
Philadelphia,Gershwin,American in Paris,1,,2,,1
Philadelphia,Gershwin,Porgy and Bess,1,,2,,1
Plano,Gershwin,American in Paris,1,,2,,5
Plano,Gershwin,Rhapsody in Blue,1,,2,,5
Sacramento,Gershwin,Second Rhapsody for Piano and Orchestra,1,,2,,5
San Antonio,Gershwin,Concerto in F,1,,2,,6
Santa Barbara,Gershwin,American in Paris,1,,2,,3
Santa Barbara,Gershwin,American in Paris (w/film),1,,2,,3
Savannah,Gershwin,Concerto in F,1,,2,,5
Seattle,Gershwin,American in Paris,1,,2,,1
Seattle,Gershwin,Concerto in F,1,,2,,1
Seattle,Gershwin,Rhapsody in Blue,1,,2,,1
Seattle,Gershwin,Second Rhapsody for Piano and Orchestra,1,,2,,1
Spokane,Gershwin,American in Paris,1,,2,,3
Spokane,Gershwin,I Got Rhythm Variations,1,,2,,3
Spokane,Gershwin,Rhapsody in Blue,1,,2,,3
St. Louis,Gershwin,American in Paris,1,,2,,1
Tacoma,Gershwin,American in Paris,1,,2,,5
Tacoma,Gershwin,Rhapsody in Blue,1,,2,,5
Utah,Gershwin,"""I Got Rhythm"" Variations for Piano and Orchestra",1,,2,,1
Utah,Gershwin,Cuban Overture,1,,2,,1
Utah,Gershwin,Piano Concerto,1,,2,,1
Utah,Gershwin,Rhapsody in Blue,1,,2,,1
Utah,Gershwin,Second Rhapsody for Piano and Orchestra,1,,2,,1
York,Gershwin,Rhapsody in Blue,1,,2,,5
Pasadena,"Giacchino, Michael",Voyage,1,,1,,6
Plano,"Giacchino, Michael",Star Trek Into Darkness with chorus,1,,1,,5
Santa Barbara,"Gilbertson, Michael",Graffiti: Concerto for Chamber Orchestra,1,,1,,3
Buffalo,"Gill, Jeremy",Concerto for 4 hands,1,,1,,2
Chautauqua,"Gill, Jeremy",Concerto for 4 hands,1,,1,,6
Savannah,"Gilliland, Allan",Dreaming of the Masters III,1,,1,,5
Colorado Springs,Ginastera,Four Dances from Estancia,1,,2,,3
Grant Park,Ginastera,Harp Concerto,1,,2,,3
Hartford,Ginastera,Variaciones concertantes,1,,2,,3
Los Angeles,Ginastera,Variaciones concertantes,1,,2,,1
Quad City,Ginastera,Malambo rom Estancia,1,,2,,4
Wisconsin Chamber,Ginastera,Harp Concerto,1,,2,,3
Milwaukee,"Glanert, Detlev","Brahms-Fantasie, Heliogravure for orchestra",1,,2,,1
Florida,"Glass, Philip",Concerto for Saxophone Quartet,1,,1,,2
Hartford,"Glass, Philip",Concerto for Saxophone Quartet,1,,1,,3
Oklahoma City,"Glass, Philip",Violin Concerto,1,,1,,3
Spokane,"Glass, Philip",Overture for 2012,1,,1,,3
Buffalo,Glazunov,Concerto for Alto Saxophone and Orchestra,1,,2,,2
Pittsburgh,Glazunov,Valse,1,,2,,1
Akron,Glinka,Overture to Russlan and Ludmilla,1,,2,,5
Des Moines,Glinka,Overture to Russlan and Ludmilla,1,,2,,6
Detroit,Glinka,Overture to Russlan and Ludmilla,1,,2,,1
Princeton,Glinka,Overture to Russlan and Ludmilla,1,,2,,5
Quad City,Glinka,Overture to Russlan and Ludmilla,1,,2,,4
Silicon Valley,Glinka,Overture to Russlan and Ludmilla,1,,2,,3
Cincinnati,Gluck,Overture and Dance of the Furies from Orphee et Eurydice,1,,2,,1
Cincinnati,Gluck,Overture to Iphigenie en Aulide,1,,2,,1
Pacific,"Goldenthal, Elliot",Adagio for Carl's 30th,1,,1,,1
Florida,"Golijov, Osvaldo",Last Round,1,,1,,2
Louisiana,"Golijov, Osvaldo",Last Round,1,,1,,3
Promusica Chamber,"Golijov, Osvaldo",ZZ's Dream,1,,1,,6
Tacoma,"Gottfried, Yaron",Electric Guitar Concerto,1,,1,,5
Austin,Gould,Interplay,1,,2,,3
Grant Park,Gould,Cowboy Rhapsody,1,,2,,3
Princeton,"Grant, Julian","Five Generations, One House",1,,1,,5
Oklahoma City,"Greenwood, Johnny",Suite from There Will Be Blood,1,,1,,3
Alabama,Grieg,Music from Peer Gynt,1,,2,,3
Atlanta,Grieg,Piano Concerto,1,,2,,1
Boston,Grieg,Piano Concerto,1,,2,,1
Buffalo,Grieg,Piano Concerto,1,,2,,2
Canton,Grieg,Piano Concerto,1,,2,,5
Chicago,Grieg,Piano Concerto,1,,2,,1
Des Moines,Grieg,Piano Concerto,1,,2,,6
Florida,Grieg,Piano Concerto,1,,2,,2
Fort Worth,Grieg,Piano Concerto,1,,2,,2
Knoxville,Grieg,Piano Concerto,1,,2,,3
Las Colinas,Grieg,Holberg Suite,1,,2,,5
Louisville,Grieg,Piano Concerto,1,,2,,3
Memphis,Grieg,Piano Concerto,1,,2,,3
Minnesota,Grieg,Piano Concerto,1,,2,,1
Minnesota,Grieg,Selections from Lyric Suite and Three Songs,1,,2,,1
National Symphony,Grieg,Lyric Suite,1,,2,,1
National Symphony,Grieg,Piano Concerto,1,,2,,1
New Jersey,Grieg,Piano Concerto,1,,2,,2
New York,Grieg,Piano Concerto,1,,2,,1
Pittsburgh,Grieg,Piano Concerto,1,,2,,1
Richmond,Grieg,Lyric Suite,1,,2,,3
Seattle,Grieg,Peer Gynt Suite No. 1,1,,2,,1
Tulsa,Grieg,Piano Concerto,1,,2,,4
Austin,Grofé,Grand Canyon Suite,1,,2,,3
Portland,Grofé,Grand Canyon Suite,1,,2,,3
Boston,"Gruber, HK",Short Stories from the Vienna Woods,1,,1,,1
Rockford,"Gruber, HK",Frankenstein!!,1,,1,,5
Grant Park,"Guida, Friedrich",Cello Concerto,1,,2,,3
Canton,Guilmant,Symphony No. 1,1,,2,,5
Baltimore,Handel,Water Music (Suite No. 2),1,,2,,1
Charlotte,Handel,Suite from Terpsichore,1,,2,,2
Chicago,Handel,Selected Arias,1,,2,,1
Chicago,Handel,Suite No. 2 from Water Music,1,,2,,1
Cincinnati,Handel,Delirio Amoroso,1,,2,,1
Columbus,Handel,Music for the Royal Fireworks,1,,2,,2
Detroit,Handel,Messiah,1,,2,,1
Jacksonville,Handel,Messiah,1,,2,,2
Las Vegas,Handel,Messiah,1,,2,,5
Los Angeles,Handel,Apollo and Daphne,1,,2,,1
National Symphony,Handel,Messiah,1,,2,,1
New Jersey,Handel,Messiah,1,,2,,2
New York,Handel,Messiah,1,,2,,1
Omaha,Handel,Water Music (Suite No. 1),1,,2,,2
Oregon,Handel,Water Music (Suite No. 1),1,,2,,1
Pacific,Handel,Messiah,1,,2,,1
Portland,Handel,Entrance of the Queen of Sheba,1,,2,,3
St. Louis,Handel,Music for the Royal Fireworks,1,,2,,1
St. Louis,Handel,Sonata á 5,1,,2,,1
St. Louis,Handel,Water Music (Suite No. 1),1,,2,,1
Virginia,Handel,Messiah,1,,2,,3
Erie,Hanson,Symphony No. 5,1,,2,,5
Cleveland,"Harbison, John",Remembering Gatsby: Foxtrot for Orchestra,1,,1,,1
Charleston,"Hart, Edward",A Charleston Concerto,1,,1,,3
Charleston,"Hart, Edward",Under an Indigo Sky,1,,1,,3
Colorado Springs,Hartmann,Concerto funèbre,1,,2,,3
Seattle,Hartmann,Concerto funèbre,1,,2,,1
Akron,Haydn,Symphony No. 95,1,,2,,5
Alabama,Haydn,Symphony No. 103,1,,2,,3
Atlanta,Haydn,Symphony No. 44,1,,2,,1
Austin,Haydn,Symphony No. 104,1,,2,,3
Baltimore,Haydn,Symphony No. 103,1,,2,,1
Boston,Haydn,Symphony No. 12,1,,2,,1
Boston,Haydn,Symphony No. 49,1,,2,,1
Buffalo,Haydn,Cello Concerto,1,,2,,2
California,Haydn,Symphony No. 104,1,,2,,5
Charlotte,Haydn,Overture to L'isola disabitata,1,,2,,2
Chattanooga,Haydn,Cello Concerto,1,,2,,6
Chicago,Haydn,Overture to L'isola disabitata,1,,2,,1
Chicago,Haydn,Symphony No. 44,1,,2,,1
Cleveland,Haydn,Symphony No. 104,1,,2,,1
Detroit,Haydn,Symphony No. 44,1,,2,,1
Grand Rapids,Haydn,Cello Concerto,1,,2,,2
Greensboro,Haydn,Symphony No. 45,1,,2,,5
Hartford,Haydn,Symphony No. 103,1,,2,,3
Indianapolis,Haydn,Symphony No. 104,1,,2,,1
Indianapolis,Haydn,Trumpet Concerto in E-flat Major,1,,2,,1
Kansas City,Haydn,Symphony No. 102,1,,2,,2
LA Chamber,Haydn,Symphony No. 84,1,,2,,2
Las Colinas,Haydn,Trumpet Concerto in E-flat Major,1,,2,,5
Los Angeles,Haydn,Cello Concerto,1,,2,,1
Louisiana,Haydn,Cello Concerto,1,,2,,3
